date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:45	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:26%20GMT	http://hireanhacker.com/gallery-post-format/?share=twitter	G:/hire%20an%20hacker/hireanhacker.com/gallery-post-format/index9a7b.html	(from http://hireanhacker.com/gallery-post-format/)
23:33:47	2253/2253	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:27%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Faside-post-format%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embede9bf.json	(from http://hireanhacker.com/aside-post-format/)
23:33:47	765/765	---MC-	200	added ('OK')	application/rss+xml	etag:%22f072f11af23567c45527ae22e794d73b%22	http://hireanhacker.com/aside-post-format/feed/	G:/hire%20an%20hacker/hireanhacker.com/aside-post-format/feed/index.html	(from http://hireanhacker.com/aside-post-format/)
23:33:48	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.342.delayed	(from http://hireanhacker.com/aside-post-format/)
23:33:48	0/-1	---M--	301	error ('')			http://hireanhacker.com/hire-now	G:/hire%20an%20hacker/hireanhacker.com/hire-now.343.delayed	(from http://hireanhacker.com/aside-post-format/)
23:33:49	2350/2350	---MCZ	200	added ('OK')	text/xml	date:Tue,%2018%20Sep%202018%2017:33:28%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Faside-post-format%2F&format=xml	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed161c	(from http://hireanhacker.com/aside-post-format/)
23:33:49	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:29%20GMT	http://hireanhacker.com/aside-post-format/?share=google-plus-1	G:/hire%20an%20hacker/hireanhacker.com/aside-post-format/index386f.html	(from http://hireanhacker.com/aside-post-format/)
23:33:49	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:29%20GMT	http://hireanhacker.com/aside-post-format/?share=facebook	G:/hire%20an%20hacker/hireanhacker.com/aside-post-format/index5a58.html	(from http://hireanhacker.com/aside-post-format/)
23:33:50	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Sep%202018%2017:33:30%20GMT	http://hireanhacker.com/aside-post-format/?share=twitter	G:/hire%20an%20hacker/hireanhacker.com/aside-post-format/index9a7b.html	(from http://hireanhacker.com/aside-post-format/)
23:33:50	2443/2443	---MCZ	200	added ('OK')	application/json	date:Tue,%2018%20Sep%202018%2017:33:30%20GMT	http://hireanhacker.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fhireanhacker.com%2Fimage-post-format%2F	G:/hire%20an%20hacker/hireanhacker.com/wp-json/oembed/1.0/embed8148.json	(from http://hireanhacker.com/image-post-format/)
